time,n_nodes,n_edges,mean_degree,type_assortativity,homophily_ratio
0.0,1100,1083,1.969090909090909,-0.01843088623883972,0.8421052631578947
500.0,947,765,1.6156282998944034,0.06282732133997145,0.869281045751634
1000.0,912,752,1.6491228070175439,0.009366984388358911,0.8617021276595744
