time_index,time,n_cells,n_malignant_epithelial_cell,n_M0_macrophage,n_effector_T_cell,prop_malignant_epithelial_cell,prop_M0_macrophage,prop_effector_T_cell,density_total,density_malignant_epithelial_cell,density_M0_macrophage,density_effector_T_cell,mean_nnd,mean_nnd_M0_macrophage,mean_nnd_effector_T_cell,mean_nnd_malignant_epithelial_cell,clark_evans_R,clark_evans_R_M0_macrophage,clark_evans_R_effector_T_cell,clark_evans_R_malignant_epithelial_cell,shannon_diversity,n_exhausted_T_cell,prop_exhausted_T_cell,density_exhausted_T_cell,mean_nnd_exhausted_T_cell,clark_evans_R_exhausted_T_cell,n_M1_macrophage,prop_M1_macrophage,density_M1_macrophage,mean_nnd_M1_macrophage,clark_evans_R_M1_macrophage,n_M2_macrophage,prop_M2_macrophage,density_M2_macrophage,mean_nnd_M2_macrophage,clark_evans_R_M2_macrophage
10,100.0,1026.0,926.0,46.0,33.0,0.9025341130604289,0.04483430799220273,0.03216374269005848,0.0005416589196880529,0.0004888656526619269,2.4284902832017968e-05,1.7421778118621587e-05,21.650361927568575,79.58457221061227,126.70861941165144,21.64621932839184,1.0077622966603668,0.7843810029816709,1.0577484407342348,0.9572090869900136,0.24253497658515807,17.0,0.016569200779727095,8.974855394441424e-06,151.66980749885587,0.9087467300203995,2.0,0.001949317738791423,1.0558653405225204e-06,950.2745162777782,1.9529150197739245,2.0,0.001949317738791423,1.0558653405225204e-06,595.6825335860588,1.2241908489916253
11,110.0,1022.0,922.0,46.0,32.0,0.9021526418786693,0.04500978473581213,0.03131115459882583,0.0005395293054225068,0.00048673778825787797,2.428409789572927e-05,1.689328549268123e-05,21.635643612621234,77.43342226808555,126.33378714237924,21.71173095457911,1.0050955130931034,0.7631667437803081,1.0385001695202003,0.9580142665053972,0.24359787353154444,18.0,0.01761252446183953,9.502473089633191e-06,138.28630828465546,0.852565005635155,2.0,0.0019569471624266144,1.0558303432925768e-06,955.5521247346218,1.9637285202333,2.0,0.0019569471624266144,1.0558303432925768e-06,591.6800390300696,1.2159451456599346
12,120.0,1020.0,920.0,46.0,32.0,0.9019607843137255,0.045098039215686274,0.03137254901960784,0.0005384609490432248,0.00048567065992133996,2.4283532996066998e-05,1.6892892519003128e-05,21.614397621544157,75.74941048608069,126.10884189435404,21.684799485628595,1.0031138768149652,0.7465608113619577,1.0366389972770498,0.9557764826660914,0.24396271480146123,18.0,0.01764705882352941,9.50225204193926e-06,138.2615247866972,0.8524022954925807,2.0,0.00196078431372549,1.0558057824376955e-06,960.0834387383642,1.9730177485687423,2.0,0.00196078431372549,1.0558057824376955e-06,587.243657815581,1.20681402558837
13,130.0,1015.0,915.0,45.0,32.0,0.9014778325123153,0.04433497536945813,0.03152709359605911,0.0005358133368864117,0.00048302384556755344,2.3755271093486234e-05,1.6892637222034657e-05,21.60236223207981,75.06680886415795,126.09037811993717,21.726629506751017,1.0000875008822285,0.7317419362935078,1.0364793894088806,0.9550071869290591,0.24647916378942034,18.0,0.017733990147783252,9.502108437394494e-06,138.12583578029594,0.8515593183980361,2.0,0.0019704433497536944,1.055789826377166e-06,962.6060205019999,1.9781868276701349,3.0,0.002955665024630542,1.583684739565749e-06,386.02452034544405,0.9715815376922774
14,140.0,1012.0,912.0,44.0,32.0,0.9011857707509882,0.043478260869565216,0.03162055335968379,0.0005342375568290257,0.00048144728441509036,2.3227719862131553e-05,1.689288717245931e-05,21.674611280041223,76.8022632449744,126.06728584849022,21.752801342360048,1.0019557014613614,0.7402992402365607,1.0362972345746768,0.9545958896915716,0.24844213409074392,18.0,0.017786561264822136,9.502249034508362e-06,138.23781880954573,0.8522560098470013,2.0,0.001976284584980237,1.0558054482787069e-06,960.1370895994271,1.9731276914303082,4.0,0.003952569169960474,2.1116108965574137e-06,253.49896301089774,0.7367381004204981
15,150.0,1011.0,911.0,44.0,31.0,0.9010880316518298,0.043521266073194856,0.03066271018793274,0.0005337201718252736,0.0004809288590829122,2.322817760663901e-05,1.636530695013203e-05,21.715028519286065,77.38616721461996,127.66503501881513,21.79190168644143,1.0033378786669744,0.7459348574081446,1.0329137103776216,0.9557967421108703,0.24892425503681878,19.0,0.018793273986152326,1.0030349421048664e-05,131.11442440865417,0.8304978255078579,2.0,0.0019782393669634025,1.0558262548472276e-06,974.7007811383551,2.0030765117095934,4.0,0.003956478733926805,2.1116525096944552e-06,251.51642206696962,0.7309834906709256
16,160.0,1008.0,908.0,44.0,30.0,0.9007936507936508,0.04365079365079365,0.02976190476190476,0.0005321515628442857,0.00047935874907005104,2.3228838060663267e-05,1.5837844132270408e-05,21.66202590645109,79.08831938464763,133.03148386211737,21.79642074627218,0.9994170116003527,0.7623529510268369,1.058845178227625,0.9544331333264537,0.24973953264196408,20.0,0.01984126984126984,1.055856275484694e-05,128.64369621206944,0.8360281641542379,2.0,0.001984126984126984,1.0558562754846939e-06,975.5753725474651,2.0049023590407997,4.0,0.003968253968253968,2.1117125509693877e-06,250.22474345743973,0.7272398170818223
17,170.0,1003.0,903.0,44.0,29.0,0.9002991026919243,0.04386839481555334,0.028913260219341975,0.0005295350566804644,0.0004767399363733393,2.3229852935135027e-05,1.5310584889066268e-05,21.755230517614503,78.6797647933157,137.4128913505527,21.901522441455917,1.0012465750938526,0.758431354193138,1.075358728112757,0.9564121128625969,0.25089560436336983,21.0,0.020937188434695914,1.1086975264496262e-05,131.00299404228775,0.8724042174819582,2.0,0.0019940179461615153,1.0559024061425012e-06,980.4690322082047,2.015003322611081,4.0,0.003988035892323031,2.1118048122850024e-06,248.67140005258273,0.7227410507160899
18,180.0,1000.0,900.0,44.0,28.0,0.9,0.044,0.028,0.0005279957310746493,0.0004751961579671844,2.323181216728457e-05,1.4783880470090183e-05,21.816969159666595,78.07000014163035,140.63582655936094,21.86478306999692,1.0026275155729751,0.7525852801224796,1.0814842198609895,0.9532605685194764,0.25162948698002974,22.0,0.022,1.1615906083642286e-05,132.62052072625735,0.9039975854519225,2.0,0.002,1.0559914621492987e-06,985.9920219668259,2.0264393028419647,4.0,0.004,2.1119829242985975e-06,244.77171270407572,0.7114369601039785
19,190.0,995.0,895.0,43.0,28.0,0.8994974874371859,0.04321608040201005,0.02814070351758794,0.0005254032631608207,0.00047259891510445686,2.2705869664236475e-05,1.478521745578189e-05,21.96257372472061,79.80651191467472,140.59445009012032,21.899083428814667,1.0068380292397825,0.7605668556169201,1.0812149230875372,0.952143252247867,0.2538713685709675,22.0,0.022110552763819097,1.1616956572400057e-05,132.6169490945256,0.9040141143515912,2.0,0.0020100502512562816,1.0560869611272779e-06,1001.1720625730578,2.0577308005746477,5.0,0.005025125628140704,2.6402174028181944e-06,199.64951300999707,0.6488108374552034
